name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
Cheliya,Mani Sharma,https://open.spotify.com/embed/track/0hwlEWBrraTWI9PTNzG0RJ?utm_source=generator,0.628,0.00785,0.0461,0.824786197,0.088,energetic
Chill Maaro Chill Maaro,Mahati Swara Sagar,https://open.spotify.com/embed/track/7EFE9jUQ0uFTQ69xWQtixm?utm_source=generator,0.725,0.0987,0.324,0.789922227,0.0657,energetic
Chantyna Bujjaina,M. M. Keeravani,https://open.spotify.com/embed/track/30HRF9dpAdSxybZNOHNoUC?utm_source=generator,0.839,0.292,0.048,0.724932209,0.0547,energetic
Yathana,Hemachandra Vedala,https://open.spotify.com/embed/track/4C4y4WYqveZH74AjzZdXmv?utm_source=generator,0.66,0.668,0.126,0.692660687,0.0396,romantic
Young Yama,M. M. Keeravani,https://open.spotify.com/embed/track/6IeCCRQ6YyuuhssuUCkYjD?utm_source=generator,0.793,0.325,0.111,0.695282935,0.282,energetic
Friday Anthem,Mark K. Robin,https://open.spotify.com/embed/track/1bkrYH9djMFyPc9uFSEytF?utm_source=generator,0.754,0.11,0.299,0.804165798,0.176,energetic
Ananda Nadamadum Tillai Sankara,L. Shankar,https://open.spotify.com/embed/track/6n0zRU7mAzwLyuvswZM4Zq?utm_source=generator,0.521,0.142,0.097,0.543877946,0.128,energetic
Kalloki Dilloki,Chakri,https://open.spotify.com/embed/track/3GozcrNiaaol8QHf7Wv5zd?utm_source=generator,0.863,0.331,0.208,0.838880777,0.1,energetic
Hosahore,G. V. Prakash,https://open.spotify.com/embed/track/0OM8PTgPuADb9DQPentmzK?utm_source=generator,0.713,0.0124,0.317,0.834262046,0.0718,energetic
Ninnu Road Meedha,M. M. Keeravani,https://open.spotify.com/embed/track/1nCkqULdG7UeDga1C3Z6rN?utm_source=generator,0.717,0.304,0.116,0.798563724,0.248,energetic
Mate Rani,Ilaiyaraaja,https://open.spotify.com/embed/track/6wNOBns27jTxzjf6n9mQIP?utm_source=generator,0.809,0.971,0.0762,0.651986054,0.178,Chill
F T V Figaralle,Devi Sri Prasad,https://open.spotify.com/embed/track/32eJ1d1AZDnQIc1a8ZfyKf?utm_source=generator,0.873,0.0888,0.306,0.722250365,0.11,energetic
Priyathama,Sekhar Chandhra,https://open.spotify.com/embed/track/3tslb9CtxCLBx5gdLgeZjA?utm_source=generator,0.335,0.327,0.567,0.762597217,0.0485,cheerful
Jummani Jummani,Mani Sharma,https://open.spotify.com/embed/track/6vbLXbLFO2H2eEsReDphLn?utm_source=generator,0.77,0.399,0.592,0.797371793,0.0448,cheerful
"God Father (From ""God Father"")",Thaman S,https://open.spotify.com/embed/track/0fElKy4Ooi5fJGdkLSaJrk?utm_source=generator,0.291,0.873,0.156,0.709317918,0.0863,Chill
Vachindamma,Gopi Sundar,https://open.spotify.com/embed/track/6obKaXHU2avqfLZFPjGm4K?utm_source=generator,0.822,0.487,0.104,0.779433237,0.0326,romantic
